"TITULO";"AUTHOR";"EDITORIAL";"PRICE";"CATEGORIA";"DESCRIPCION";"PORTADA";"STADO"
"Odisea";"Homero";"Clarin";700.0;0.0;0.0;0.0;"Usado"
"Odisea";"Homero";"La estacion";750.0;0.0;0.0;0.0;"Nuevo "
"Martín Fierro";"José Hernández";"Clarin";700.0;0.0;0.0;0.0;"Usado"
"Hamlet - Macbeth";"William Shakespeare";"Clarin";750.0;0.0;0.0;0.0;"Usado"
"Hamlet ";"William Shakespeare";"Salim ";750.0;0.0;0.0;0.0;"Nuevo "
"El jugador";"Fiodor Dostoyevsky";"Clarin";700.0;0.0;0.0;0.0;"Nuevo "
"Fausto";"J. W. Goethe";"Clarin";700.0;0.0;0.0;0.0;"Nuevo "
"La metamorfosis";"Franz Kafka";"Clarin";700.0;0.0;0.0;0.0;"Nuevo "
"Narraciones extraordinarias";"Edgar Allan Poe";"Clarin";700.0;0.0;0.0;0.0;"Nuevo "
"Poemas de Amor - Alfonsina Storni";"Alfonsina Storni";"Salim";650.0;0.0;0.0;0.0;"Nuevo "
"Alicia en el pais de las maravillas";"Lewis Caroll";"Salim";750.0;0.0;0.0;0.0;"Nuevo "
"Bodas de sangre";"Federico G. Lorca";"Salim";600.0;0.0;0.0;0.0;"Nuevo "
"El diario de Adan y Eva";"Mark Twain";"Salim";750.0;0.0;0.0;0.0;"Nuevo "
"Los siete locos";"Roberto Arlt";"Salim";650.0;0.0;0.0;0.0;"Nuevo "
"Peter Pan";"J. M. Barrie";"Salim";750.0;0.0;0.0;0.0;"Nuevo "
"Cronica de una muerte anunciada";"Gabriel Garcia Marquez";"Sudamericana";1400.0;0.0;0.0;0.0;"Nuevo"
"Romeo y Julieta";"William Shakespeare";"Longseller";700.0;0.0;0.0;0.0;"Nuevo"
"Colmillo blanco";"Jack London";"Mestas";750.0;0.0;0.0;0.0;"Nuevo "
"El gato negro y otros relatos de terror";"Edgar Allan Poe";"Dama";550.0;0.0;0.0;0.0;"Nuevo"
"Cuentos - Robert L. Stevenson";"Robert L. Stevenson";"Mestas";750.0;0.0;0.0;0.0;"Nuevo "
"El curioso caso de Benjamin Button";"F. Scott Fitzgerald";"La estacion";0.0;0.0;0.0;0.0;"Usado"
"El extraño caso de Dr. Jekyll & Mr. Hyde";"Robert L. Stevenson";"La estacion";650.0;0.0;0.0;0.0;"Usado"
"Los pajaros";"Alfred Hitchcock";"La estacion";800.0;0.0;0.0;0.0;"Nuevo"
"Frankenstein";"Mary Shelley";"Fontana";650.0;0.0;0.0;0.0;"Nuevo"
"Singularidades cosmicas";"H. P. Lovecraft";"E.M.U";600.0;0.0;0.0;0.0;"Nuevo"
"Pesadillas y posesiones mentales";"H. P. Lovecraft";"E.M.U";600.0;0.0;0.0;0.0;"Nuevo"
"Zombie blanco, Berenice y otros";"Antologias";"E.M.U";600.0;0.0;0.0;0.0;"Nuevo"
"Los crímenes de la Rue Morgue ";"Edgar Allan Poe";"Dama";550.0;0.0;0.0;0.0;"Nuevo"
"Cien años de soledad";"Gabriel Garcia Marquez";"Sudamericana";2400.0;0.0;0.0;0.0;"Nuevo"
"Operación masacre ";"Rodolfo Walsh";"De la flor";1200.0;0.0;0.0;0.0;"Nuevo"
"Todos los fuegos el fuego";"Julio Cortazar";"Punto de Lectura";900.0;0.0;0.0;0.0;"Nuevo"
"El cuervo y otros poemas";"Edgar Allan Poe";"Fontana";0.0;0.0;0.0;0.0;"Nuevo"
"El critico como artista";"Oscar Wilde";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Frankenstein";"Mary Shelley";"Terramar";700.0;0.0;0.0;0.0;"Usado"
"Los demonios";"Fiodor Dostoyevsky";"Libertador";600.0;0.0;0.0;0.0;"Nuevo"
"Memorias del subsuelo";"Fiodor Dostoyevsky";"Libertador";600.0;0.0;0.0;0.0;"Nuevo"
"Casa de muñecas";"Henrik Ibsen";"Libertador";600.0;0.0;0.0;0.0;"Nuevo"
"Las enseñanzas de los animales";"Fabulas y cuentos";"Libertador";550.0;0.0;0.0;0.0;"Nuevo"
"Don Quijote de la Mancha";"Miguel de Cervantes";"Libertador";1000.0;0.0;0.0;0.0;"Nuevo"
"1984";"George Orwell";"Arenal ";800.0;0.0;0.0;0.0;"Nuevo"
"Poema del Mío Cid";"Anonimo";"Gargola";800.0;0.0;0.0;0.0;"Nuevo"
"Cuento de navidad";"Charles Dickens";"Terramar";700.0;0.0;0.0;0.0;"Nuevo"
"El diablo en la botella";"Robert L. Stevenson";"Terramar";700.0;0.0;0.0;0.0;"Nuevo"
"Otra vuelta de tuerca";"Henry James";"Terramar";700.0;0.0;0.0;0.0;"Nuevo"
"Historias fantasticas";"Adolfo Bioy Casares";"La Nacion";650.0;0.0;0.0;0.0;"Nuevo"
"Historia de la eternidad";"Jorge Luis Borges";"La Nacion";700.0;0.0;0.0;0.0;"Nuevo"
"Historia universal de la infamia";"Jorge Luis Borges";"La Nacion";0.0;0.0;0.0;0.0;"Nuevo"
"Rebelion en la granja";"George Orwell";"Arenal ";800.0;0.0;0.0;0.0;"Nuevo"
"Siddharta";"Hermann Hesse";"Arenal";600.0;0.0;0.0;0.0;"Nuevo"
"El matadero - La cautiva";"Esteban Echeverria";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"Tragedias completas";"Esquilo";"Gradifco";750.0;0.0;0.0;0.0;"Nuevo"
"Tragedias completas";"Sofocles";"Gradifco";750.0;0.0;0.0;0.0;"Nuevo"
"El diccionario del diablo";"Ambrose Bierce";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Facundo";"Domingo F. Sarmiento";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"Filosofia en el tocador";"Marques de Sade";"Gradifco";650.0;0.0;0.0;0.0;"Nuevo"
"Juan Moreira";"Eduardo Gutierrez";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"La casa de Bernarda Alba";"Federico G. Lorca";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"La Illiada";"Homero";"Gradifco";750.0;0.0;0.0;0.0;"Nuevo"
"Los lanzallamas";"Roberto Arlt";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"Una temporada en el infierno";"Arthur Rimbaud";"Gradifco";550.0;0.0;0.0;0.0;"Nuevo"
"Poema del Mio Cid";"Anonimo";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El misterio del cuarto amarillo";"Leroux";"Gradifco";650.0;0.0;0.0;0.0;"Nuevo"
"Lazarillo de Tormes";"Anonimo";"Longseller";700.0;0.0;0.0;0.0;"Nuevo"
"Lazarillo de Tormes";"Anonimo";"Colihue";500.0;0.0;0.0;0.0;"Usado"
"El fantasma de Canterville";"Oscar Wilde";"Pluton";650.0;0.0;0.0;0.0;"Nuevo"
"La divina comedia";"Dante Alighieri";"Pluton";1300.0;0.0;0.0;0.0;"Nuevo"
"El libro de la selva ";"Rudyard Kipling";"Pluton";650.0;0.0;0.0;0.0;"Nuevo"
"Prometeo encadenado - Los persas";"Esquilo ";"Longseller";600.0;0.0;0.0;0.0;"Nuevo"
"El anticristo";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Asi hablo Zaratustra";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Aurora";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Ecce homo";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El caminante y su sombra";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El ocaso de los idolos";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"El origen de la tragedia";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"Humano, demasiado humano";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
"La gaya ciencia";"Friedrich Nietzsche";"Gradifco";600.0;0.0;0.0;0.0;"Nuevo"
