TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
Odisea,Homero,Clarin,700,NULL,NULL,NULL,Usado
Odisea,Homero,"La estacion",750,NULL,NULL,NULL,"Nuevo "
"Martín Fierro","José Hernández",Clarin,700,NULL,NULL,NULL,Usado
"Hamlet - Macbeth","William Shakespeare",Clarin,750,NULL,NULL,NULL,Usado
"Hamlet ","William Shakespeare","Salim ",750,NULL,NULL,NULL,"Nuevo "
"El jugador","Fiodor Dostoyevsky",Clarin,700,NULL,NULL,NULL,"Nuevo "
Fausto,"J. W. Goethe",Clarin,700,NULL,NULL,NULL,"Nuevo "
"La metamorfosis","Franz Kafka",Clarin,700,NULL,NULL,NULL,"Nuevo "
"Narraciones extraordinarias","Edgar Allan Poe",Clarin,700,NULL,NULL,NULL,"Nuevo "
"Poemas de Amor - Alfonsina Storni","Alfonsina Storni",Salim,650,NULL,NULL,NULL,"Nuevo "
"Alicia en el pais de las maravillas","Lewis Caroll",Salim,750,NULL,NULL,NULL,"Nuevo "
"Bodas de sangre","Federico G. Lorca",Salim,600,NULL,NULL,NULL,"Nuevo "
"El diario de Adan y Eva","Mark Twain",Salim,750,NULL,NULL,NULL,"Nuevo "
"Los siete locos","Roberto Arlt",Salim,650,NULL,NULL,NULL,"Nuevo "
"Peter Pan","J. M. Barrie",Salim,750,NULL,NULL,NULL,"Nuevo "
"Cronica de una muerte anunciada","Gabriel Garcia Marquez",Sudamericana,1400,NULL,NULL,NULL,Nuevo
"Romeo y Julieta","William Shakespeare",Longseller,700,NULL,NULL,NULL,Nuevo
"Colmillo blanco","Jack London",Mestas,750,NULL,NULL,NULL,"Nuevo "
"El gato negro y otros relatos de terror","Edgar Allan Poe",Dama,550,NULL,NULL,NULL,Nuevo
"Cuentos - Robert L. Stevenson","Robert L. Stevenson",Mestas,750,NULL,NULL,NULL,"Nuevo "
"El curioso caso de Benjamin Button","F. Scott Fitzgerald","La estacion",NULL,NULL,NULL,NULL,Usado
"El extraño caso de Dr. Jekyll & Mr. Hyde","Robert L. Stevenson","La estacion",650,NULL,NULL,NULL,Usado
"Los pajaros","Alfred Hitchcock","La estacion",800,NULL,NULL,NULL,Nuevo
Frankenstein,"Mary Shelley",Fontana,650,NULL,NULL,NULL,Nuevo
"Singularidades cosmicas","H. P. Lovecraft",E.M.U,600,NULL,NULL,NULL,Nuevo
"Pesadillas y posesiones mentales","H. P. Lovecraft",E.M.U,600,NULL,NULL,NULL,Nuevo
"Zombie blanco, Berenice y otros",Antologias,E.M.U,600,NULL,NULL,NULL,Nuevo
"Los crímenes de la Rue Morgue ","Edgar Allan Poe",Dama,550,NULL,NULL,NULL,Nuevo
"Cien años de soledad","Gabriel Garcia Marquez",Sudamericana,2400,NULL,NULL,NULL,Nuevo
"Operación masacre ","Rodolfo Walsh","De la flor",1200,NULL,NULL,NULL,Nuevo
"Todos los fuegos el fuego","Julio Cortazar","Punto de Lectura",900,NULL,NULL,NULL,Nuevo
"El cuervo y otros poemas","Edgar Allan Poe",Fontana,NULL,NULL,NULL,NULL,Nuevo
"El critico como artista","Oscar Wilde",Gradifco,600,NULL,NULL,NULL,Nuevo
Frankenstein,"Mary Shelley",Terramar,700,NULL,NULL,NULL,Usado
"Los demonios","Fiodor Dostoyevsky",Libertador,600,NULL,NULL,NULL,Nuevo
"Memorias del subsuelo","Fiodor Dostoyevsky",Libertador,600,NULL,NULL,NULL,Nuevo
"Casa de muñecas","Henrik Ibsen",Libertador,600,NULL,NULL,NULL,Nuevo
"Las enseñanzas de los animales","Fabulas y cuentos",Libertador,550,NULL,NULL,NULL,Nuevo
"Don Quijote de la Mancha","Miguel de Cervantes",Libertador,1000,NULL,NULL,NULL,Nuevo
1984,"George Orwell","Arenal ",800,NULL,NULL,NULL,Nuevo
"Poema del Mío Cid",Anonimo,Gargola,800,NULL,NULL,NULL,Nuevo
"Cuento de navidad","Charles Dickens",Terramar,700,NULL,NULL,NULL,Nuevo
